"id","codigo","descripcion","tipo_id"
"485","17","ALTO PARAGUAY","130"
"486","11","ALTO PARANA","130"
"487","14","AMAMBAY","130"
"488","16","BOQUERON","130"
"489","6","CAAGUAZU","130"
"490","7","CAAZAPA","130"
"491","18","CANINDEYU","130"
"492","1","CAPITAL","130"
"493","12","CENTRAL","130"
"494","2","CONCEPCION","130"
"495","4","CORDILLERA","130"
"496","5","GUAIRA","130"
"497","8","ITAPUA","130"
"498","9","MISIONES","130"
"499","13","NEEMBUCU","130"
"500","10","PARAGUARI","130"
"501","15","PTE. HAYES","130"
"502","3","SAN PEDRO","130"
