"ID","CODZONA","CODSUBZONA","NOMBRE"
"1851","CAP","0  ","AYGAS                                             "
"1911","CAP","50 ","50K                                               "
"1931","CAP","M1 ","ABASTO                                            "
"1933","CAP","M2 ","MCDOSL                                            "
"1934","CAP","M3 ","MCDOLQ                                            "
"1932","CAP","M4 ","MCDO4                                             "
"1852","INT","1  ","SUR                                               "
"1891","INT","2  ","ESTE                                              "
"1892","INT","3  ","CENTRO                                            "
"1893","INT","4  ","NORTE                                             "
"1991","INT","90 ","CHACO                                             "
"2011","INT","OTR","INTERIOR OTROS                                    "
